Global Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.051,  0.103,  0.090, -0.152, -0.068, -0.141, -0.051, -0.182, -0.092, -0.213, -0.185, -0.242, -0.090, -0.080,  0.011, -0.043, -0.125, -0.163
2003,  0.027, -0.104, -0.199, -0.184, -0.105, -0.191, -0.083, -0.068, -0.100, -0.026, -0.241,  0.069, -0.100, -0.126, -0.106, -0.163, -0.114, -0.123
2004, -0.139,  0.038, -0.162, -0.125, -0.343, -0.231, -0.400, -0.257, -0.223, -0.148, -0.049, -0.174, -0.184, -0.164, -0.011, -0.210, -0.296, -0.140
2005,  0.018, -0.088, -0.053, -0.065, -0.082, -0.026, -0.046, -0.110, -0.012, -0.003, -0.038,  0.001, -0.042, -0.057, -0.081, -0.067, -0.061, -0.018
2006, -0.163,  0.043, -0.165, -0.263, -0.235, -0.012, -0.126, -0.002, -0.074, -0.058, -0.035,  0.111, -0.082, -0.091, -0.040, -0.221, -0.047, -0.056
2007,  0.300,  0.014, -0.066,  0.026, -0.021, -0.056, -0.060, -0.115, -0.124, -0.166, -0.185, -0.182, -0.053, -0.029,  0.142, -0.021, -0.077, -0.159
2008, -0.416, -0.306, -0.049, -0.196, -0.219, -0.181, -0.063, -0.253, -0.110, -0.084, -0.083, -0.140, -0.175, -0.179, -0.302, -0.155, -0.166, -0.092
2009, -0.077, -0.158, -0.256, -0.123, -0.061, -0.021,  0.076, -0.031, -0.007, -0.103,  0.023, -0.003, -0.062, -0.073, -0.125, -0.146,  0.008, -0.029
2010,  0.027,  0.149,  0.130,  0.113,  0.042,  0.013, -0.035, -0.046, -0.095, -0.048,  0.039, -0.233,  0.005,  0.024,  0.058,  0.095, -0.023, -0.035
2011, -0.201, -0.208, -0.139, -0.082, -0.181, -0.041,  0.045,  0.029, -0.158, -0.097, -0.189, -0.076, -0.108, -0.121, -0.214, -0.134,  0.011, -0.148
2012, -0.233, -0.194, -0.214, -0.008,  0.072, -0.021, -0.075, -0.063, -0.002,  0.040,  0.012, -0.150, -0.070, -0.064, -0.168, -0.050, -0.053,  0.017
2013, -0.015, -0.063, -0.123, -0.194, -0.104,  0.023, -0.060, -0.022,  0.043, -0.063,  0.065,  0.014, -0.042, -0.055, -0.076, -0.141, -0.020,  0.015
2014,  0.036, -0.136, -0.013,  0.064,  0.148,  0.005, -0.078,  0.111,  0.148,  0.051, -0.110,  0.105,  0.028,  0.020, -0.029,  0.066,  0.013,  0.030
2015,  0.130,  0.217,  0.162,  0.028,  0.086,  0.144,  0.067,  0.089,  0.126,  0.339,  0.286,  0.481,  0.180,  0.148,  0.151,  0.092,  0.100,  0.250
2016,  0.449,  0.685,  0.567,  0.372,  0.239,  0.135,  0.181,  0.301,  0.180,  0.131,  0.143,  0.184,  0.297,  0.322,  0.538,  0.393,  0.206,  0.152
2017,  0.299,  0.454,  0.370,  0.209,  0.199,  0.051,  0.157,  0.156,  0.042,  0.144,  0.109,  0.257,  0.204,  0.198,  0.312,  0.259,  0.122,  0.098
2018,  0.093,  0.161,  0.090,  0.160,  0.112,  0.108,  0.163,  0.052,  0.077,  0.265,  0.050,  0.239,  0.131,  0.132,  0.170,  0.121,  0.108,  0.131
2019,  0.209,  0.261,  0.378,  0.282,  0.141,  0.242,  0.284,  0.232,  0.203,  0.258,  0.221,  0.410,  0.260,  0.246,  0.237,  0.267,  0.253,  0.228
2020,  0.443,  0.560,  0.378,  0.401,  0.309,  0.254,  0.243,  0.162,  0.264,  0.134,  0.333,  0.134,  0.301,  0.324,  0.471,  0.363,  0.220,  0.244
2021,  0.090, -0.045,  0.094,  0.024,  0.072,  0.175,  0.258,  0.099,  0.196,  0.243,  0.156,  0.174,  0.128,  0.125,  0.060,  0.064,  0.177,  0.198
2022,  0.186,  0.207,  0.259,  0.102,  0.119,  0.257,  0.274,  0.236,  0.171,  0.209,*******,*******,*******,833.433,  0.189,  0.160,  0.256,*******
